,index,user_id,item_id,rating
0,0,195,241,3
1,1,185,301,3
2,3,243,50,2
3,4,165,345,1
4,5,297,473,4
5,7,252,464,5
6,8,304,450,3
7,9,5,85,3
8,10,61,256,2
9,11,285,1013,5
10,13,209,39,3
11,15,302,784,3
12,16,121,386,5
13,18,290,1041,4
14,20,118,391,4
15,22,298,143,4
16,24,307,0,4
17,26,37,94,5
18,29,159,233,5
19,30,49,245,3
20,32,224,192,4
21,33,289,87,4
22,35,156,273,4
23,37,277,602,5
24,38,275,795,1
25,39,6,31,4
26,42,200,978,2
27,43,275,563,3
28,44,286,326,5
29,45,245,200,5
30,46,241,1136,5
31,48,98,3,5
32,49,177,331,3
33,50,250,99,4
34,51,80,431,2
35,54,58,195,5
36,55,71,678,2
37,56,86,383,4
38,60,114,19,3
39,63,12,525,3
40,64,245,918,4
41,66,166,231,1
42,67,59,426,5
43,68,56,303,5
44,70,188,511,4
45,71,242,14,3
46,72,91,1048,1
47,74,193,164,4
48,75,240,689,2
49,76,177,247,4
50,77,253,1443,3
51,78,292,4,3
52,79,126,228,5
53,81,298,228,3
54,83,275,53,3
55,84,290,143,5
56,85,221,365,4
57,86,266,517,5
58,87,41,402,3
59,89,94,624,4
60,90,7,337,4
61,91,161,24,4
62,93,278,153,5
63,94,144,274,2
64,96,61,497,4
65,97,61,381,3
66,99,134,22,4
67,100,31,293,3
68,101,89,381,5
69,103,292,684,3
70,104,215,143,4
71,105,165,327,5
72,107,270,131,5
73,109,264,117,4
74,110,197,497,3
75,113,109,306,4
76,115,89,647,4
77,116,270,345,4
78,121,127,484,3
79,122,297,316,4
80,123,43,194,5
81,124,263,199,5
82,126,71,194,5
83,128,249,263,3
84,133,292,470,3
85,134,215,657,3
86,135,249,139,3
87,136,58,22,5
88,137,285,378,5
89,138,243,814,4
90,139,6,478,4
91,140,173,367,1
92,141,86,273,4
93,142,193,1210,2
94,145,12,271,4
95,147,304,426,5
96,148,94,786,2
97,149,42,13,2
98,151,56,418,3
99,152,83,404,3
100,153,268,503,4
101,154,298,110,3
102,155,193,465,4
103,157,98,267,3
104,159,258,116,4
105,160,84,426,3
106,162,212,272,5
107,165,48,558,2
108,166,41,793,3
109,167,154,322,2
110,169,171,176,4
111,170,18,3,4
112,171,267,230,4
113,172,4,1,3
114,173,304,116,2
115,175,42,136,4
116,176,278,1335,1
117,177,79,465,5
118,178,253,163,4
119,179,297,280,3
120,180,278,1239,1
121,181,65,297,4
122,183,267,1034,2
123,185,12,97,4
124,186,25,257,3
125,187,6,454,4
126,188,221,754,4
127,189,199,672,5
128,190,118,327,4
129,191,212,171,5
130,192,275,321,3
131,193,93,1216,3
132,195,37,327,4
133,196,159,718,3
134,197,292,1266,3
135,198,25,929,2
136,200,91,1078,3
137,201,255,451,4
138,203,71,47,4
139,204,55,754,3
140,205,12,359,4
141,206,14,404,2
142,209,291,173,5
143,210,231,482,5
144,211,250,747,2
145,212,223,25,3
146,213,180,219,4
147,214,258,254,4
148,215,304,470,4
149,216,51,279,3
150,217,160,201,5
151,219,124,234,2
152,220,96,227,5
153,221,57,1097,4
154,224,271,177,5
155,225,193,180,3
156,226,124,477,4
157,228,298,13,4
158,229,150,9,5
159,230,268,126,4
160,231,5,13,5
161,232,53,105,3
162,234,15,943,1
163,236,275,1090,3
164,237,304,213,2
165,238,193,1027,2
166,239,90,322,2
167,242,285,170,4
168,243,199,317,5
169,244,228,327,1
170,245,177,567,4
171,246,302,841,2
172,247,61,64,4
173,249,91,171,4
174,250,300,400,4
175,251,35,338,5
176,252,69,745,3
177,253,62,241,3
178,254,27,200,3
179,255,278,67,4
180,256,249,6,4
181,257,13,97,3
182,258,298,1017,3
183,259,193,53,3
184,260,302,814,3
185,261,118,236,5
186,262,294,217,5
187,263,267,929,2
188,264,267,1,2
189,265,65,257,4
190,266,232,201,5
191,267,82,622,4
192,268,213,333,3
193,269,191,475,2
194,270,99,343,4
195,271,267,144,1
196,272,300,55,4
197,273,306,88,5
198,276,180,263,2
199,278,37,152,5
200,279,6,381,4
201,281,180,871,1
202,282,200,145,1
203,283,84,506,4
204,284,268,366,3
205,285,58,467,3
206,288,112,594,5
207,290,129,1013,3
208,291,274,97,4
209,292,188,519,5
210,293,218,81,1
211,295,122,426,3
212,296,118,221,5
213,298,221,117,4
214,299,301,321,2
215,300,278,500,3
216,302,180,2,2
217,304,12,197,3
218,305,0,188,3
219,307,22,384,4
220,308,200,766,4
221,309,295,704,5
222,313,15,63,5
223,315,153,356,4
224,316,76,483,5
225,317,295,507,5
226,318,301,302,2
227,319,243,672,3
228,321,12,214,5
229,323,269,451,4
230,325,186,63,5
231,326,199,303,5
232,327,169,748,5
233,330,127,203,4
234,331,180,1294,1
235,332,183,152,3
236,333,0,32,4
237,334,0,159,4
238,335,183,320,5
239,337,93,342,4
240,338,127,507,4
241,340,300,226,3
242,341,300,190,3
243,342,111,902,1
244,343,81,182,3
245,344,221,723,3
246,345,217,429,3
247,347,302,133,5
248,349,214,211,2
249,350,68,255,5
250,351,253,661,4
251,353,103,983,1
252,354,62,1066,3
253,355,266,409,4
254,357,239,878,3
255,358,285,236,2
256,360,89,1085,4
257,361,17,25,4
258,362,91,228,3
259,363,307,648,4
260,365,190,301,4
261,366,58,950,3
262,368,15,196,5
263,369,60,677,3
264,371,270,708,3
265,372,141,168,5
266,373,274,596,3
267,374,221,150,3
268,376,206,257,4
269,379,206,1114,2
270,380,298,576,3
271,381,270,377,4
